Epoch61/250：Train Loss: 0.030099572100443766 | Val Loss: 0.3614390230551362 | Val Acc: 0.79
Epoch62/250：Train Loss: 0.017662604322540573 | Val Loss: 0.3501518652588129 | Val Acc: 0.785
Epoch63/250：Train Loss: 0.028886337893200106 | Val Loss: 0.37864771626889704 | Val Acc: 0.7775
Epoch64/250：Train Loss: 0.014609163486602484 | Val Loss: 0.36401513682678344 | Val Acc: 0.77
Epoch65/250：Train Loss: 0.007041002947662491 | Val Loss: 0.3028899508155882 | Val Acc: 0.8325
Epoch66/250：Train Loss: 0.009791909169580322 | Val Loss: 0.36085832849144933 | Val Acc: 0.7825
Epoch67/250：Train Loss: 0.010386686520214426 | Val Loss: 0.321070073209703 | Val Acc: 0.81
Epoch68/250：Train Loss: 0.01045889343629824 | Val Loss: 0.39326646357774736 | Val Acc: 0.77
Epoch69/250：Train Loss: 0.010321818508964497 | Val Loss: 0.36013186901807787 | Val Acc: 0.7975
Epoch70/250：Train Loss: 0.01665347300528083 | Val Loss: 0.4133367656171322 | Val Acc: 0.7825
Epoch71/250：Train Loss: 0.023262150068185293 | Val Loss: 0.40002576462924483 | Val Acc: 0.7775
Epoch72/250：Train Loss: 0.024025472048379015 | Val Loss: 0.42327455945312975 | Val Acc: 0.76
Epoch73/250：Train Loss: 0.027297528460621834 | Val Loss: 0.4227652694284916 | Val Acc: 0.81
Epoch74/250：Train Loss: 0.01697835532919271 | Val Loss: 0.3583754808455706 | Val Acc: 0.8275
Epoch75/250：Train Loss: 0.0150396281373105 | Val Loss: 0.36800690591335294 | Val Acc: 0.805
Epoch76/250：Train Loss: 0.0034614137999597005 | Val Loss: 0.3674349894560873 | Val Acc: 0.81
Epoch77/250：Train Loss: 0.07988451245691977 | Val Loss: 0.44447443157434463 | Val Acc: 0.7475
Epoch78/250：Train Loss: 0.037322289552539585 | Val Loss: 0.3492730112373829 | Val Acc: 0.81
Epoch79/250：Train Loss: 0.008344376353779808 | Val Loss: 0.3131521923467517 | Val Acc: 0.8175
Epoch80/250：Train Loss: 0.00195217950080405 | Val Loss: 0.32906503304839135 | Val Acc: 0.8375
Epoch81/250：Train Loss: 0.004343010700104059 | Val Loss: 0.3188084936141968 | Val Acc: 0.84
Epoch82/250：Train Loss: 0.002608944519161014 | Val Loss: 0.34432424411177637 | Val Acc: 0.8275
Epoch83/250：Train Loss: 0.002464780910158879 | Val Loss: 0.3424365606578067 | Val Acc: 0.825
Epoch84/250：Train Loss: 0.012376717057632049 | Val Loss: 0.5181606191396714 | Val Acc: 0.7275
Epoch85/250：Train Loss: 0.04229800934321247 | Val Loss: 0.4070182305574417 | Val Acc: 0.7575
Epoch86/250：Train Loss: 0.027623674194910564 | Val Loss: 0.4435679559409618 | Val Acc: 0.7375
Epoch87/250：Train Loss: 0.028320061694685136 | Val Loss: 0.36419172458350657 | Val Acc: 0.7925
Epoch88/250：Train Loss: 0.013807322632637807 | Val Loss: 0.38199515553191304 | Val Acc: 0.8275
Epoch89/250：Train Loss: 0.01831136194858118 | Val Loss: 0.376427458524704 | Val Acc: 0.8125
Epoch90/250：Train Loss: 0.01574862544221105 | Val Loss: 0.4627333989739418 | Val Acc: 0.78
Epoch91/250：Train Loss: 0.015454048131650779 | Val Loss: 0.43245384853333235 | Val Acc: 0.7675
Epoch92/250：Train Loss: 0.0196335857071972 | Val Loss: 0.4054202610254288 | Val Acc: 0.785
Epoch93/250：Train Loss: 0.01640431905616424 | Val Loss: 0.43182928567752243 | Val Acc: 0.8
Epoch94/250：Train Loss: 0.01878580353833968 | Val Loss: 0.3985829782485962 | Val Acc: 0.7875
Epoch95/250：Train Loss: 0.029724534430133644 | Val Loss: 0.38617594450712206 | Val Acc: 0.7975
Epoch96/250：Train Loss: 0.01671939963074692 | Val Loss: 0.4584097407758236 | Val Acc: 0.77
Epoch97/250：Train Loss: 0.03972765023849206 | Val Loss: 0.4150199580192566 | Val Acc: 0.79
Epoch98/250：Train Loss: 0.016790279171982548 | Val Loss: 0.35075683616101744 | Val Acc: 0.825
Epoch99/250：Train Loss: 0.00973538895508682 | Val Loss: 0.373171868622303 | Val Acc: 0.81
Epoch100/250：Train Loss: 0.00875236001018493 | Val Loss: 0.29459114441648127 | Val Acc: 0.8725
Epoch101/250：Train Loss: 0.006547497284045676 | Val Loss: 0.35574119542259725 | Val Acc: 0.8325
Epoch102/250：Train Loss: 0.008588394708713167 | Val Loss: 0.3393585049198009 | Val Acc: 0.855
Epoch103/250：Train Loss: 0.005091161444361205 | Val Loss: 0.4408180765807629 | Val Acc: 0.8025
Epoch104/250：Train Loss: 0.013140167468336586 | Val Loss: 0.3588398840650916 | Val Acc: 0.825
Epoch105/250：Train Loss: 0.005564671905376599 | Val Loss: 0.35723980810027567 | Val Acc: 0.8325
Epoch106/250：Train Loss: 0.013609636714099906 | Val Loss: 0.36360585030168296 | Val Acc: 0.8175
Epoch107/250：Train Loss: 0.007660760229155131 | Val Loss: 0.3889485309273005 | Val Acc: 0.8025
Epoch108/250：Train Loss: 0.01859573088149773 | Val Loss: 0.4064318785071373 | Val Acc: 0.8
Epoch109/250：Train Loss: 0.020659810391371138 | Val Loss: 0.3515105140209198 | Val Acc: 0.825
Epoch110/250：Train Loss: 0.01949654724463471 | Val Loss: 0.4983443731069565 | Val Acc: 0.78
Epoch111/250：Train Loss: 0.0213660487854213 | Val Loss: 0.41014851212501524 | Val Acc: 0.8075
Epoch112/250：Train Loss: 0.015373182330658892 | Val Loss: 0.4595490050315857 | Val Acc: 0.825
Epoch113/250：Train Loss: 0.00834204639926611 | Val Loss: 0.3749633838236332 | Val Acc: 0.84
Epoch114/250：Train Loss: 0.0247958778537577 | Val Loss: 0.4332819313183427 | Val Acc: 0.81
Epoch115/250：Train Loss: 0.02207780394870497 | Val Loss: 0.4655513334274292 | Val Acc: 0.775
Epoch116/250：Train Loss: 0.051107256887480614 | Val Loss: 0.3836149463057518 | Val Acc: 0.8075
