epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.229,3.23323,1.79004,2.48613,0.74929,0.78419,0.84206,0.47109,1.51174,1.09015,1.48809,0.000665109,0.000665109,0.000665109
2,91.4733,1.51689,0.95317,1.32021,0.91823,0.89308,0.96383,0.65118,1.17353,0.85768,1.17427,0.00131529,0.00131529,0.00131529
3,132.339,1.22919,0.77863,1.13954,0.95174,0.94351,0.98343,0.74095,0.97101,0.66807,1.05862,0.00194898,0.00194898,0.00194898
4,173.291,1.10235,0.69624,1.07682,0.96395,0.95171,0.98789,0.78798,0.80994,0.56957,0.98176,0.00192575,0.00192575,0.00192575
