Epoch60/250：Train Loss: 0.22216022354364395 | Val Loss: 0.35175059433467093 | Val Acc: 0.7806
Epoch61/250：Train Loss: 0.21480377444028853 | Val Loss: 0.3589794008067241 | Val Acc: 0.7714
Epoch62/250：Train Loss: 0.2098271515071392 | Val Loss: 0.36383919148875504 | Val Acc: 0.7858
Epoch63/250：Train Loss: 0.20034127196967602 | Val Loss: 0.36237214781796206 | Val Acc: 0.792
Epoch64/250：Train Loss: 0.1946818378984928 | Val Loss: 0.3522943297680765 | Val Acc: 0.7811
Epoch65/250：Train Loss: 0.18943572361171246 | Val Loss: 0.3408050917969725 | Val Acc: 0.7842
Epoch66/250：Train Loss: 0.18253882624804973 | Val Loss: 0.34177340443332355 | Val Acc: 0.783
Epoch67/250：Train Loss: 0.18041176137924195 | Val Loss: 0.34822178855776403 | Val Acc: 0.7845
Epoch68/250：Train Loss: 0.17464678511917592 | Val Loss: 0.3399369051923957 | Val Acc: 0.7778
Epoch69/250：Train Loss: 0.168082793328166 | Val Loss: 0.3439406394458617 | Val Acc: 0.7686
Epoch70/250：Train Loss: 0.16022297717183828 | Val Loss: 0.3473340818723932 | Val Acc: 0.786
Epoch71/250：Train Loss: 0.15827815125733613 | Val Loss: 0.3482739680086652 | Val Acc: 0.7691
Epoch72/250：Train Loss: 0.15131536701917647 | Val Loss: 0.3529764865986265 | Val Acc: 0.7866
Epoch73/250：Train Loss: 0.15057415760457515 | Val Loss: 0.34241559514746117 | Val Acc: 0.7885
Epoch74/250：Train Loss: 0.14280589775294064 | Val Loss: 0.3397026290646948 | Val Acc: 0.775
Epoch75/250：Train Loss: 0.13747315585017203 | Val Loss: 0.3516713525183475 | Val Acc: 0.805
Epoch76/250：Train Loss: 0.1327618840381503 | Val Loss: 0.3875382868364787 | Val Acc: 0.7954
Epoch77/250：Train Loss: 0.13054520321041346 | Val Loss: 0.3628497564028532 | Val Acc: 0.7936
Epoch78/250：Train Loss: 0.1309441076040268 | Val Loss: 0.34927197010181965 | Val Acc: 0.793
Epoch79/250：Train Loss: 0.12097157858759165 | Val Loss: 0.36921812415408634 | Val Acc: 0.7826
Epoch80/250：Train Loss: 0.11552403257191181 | Val Loss: 0.36970170199299773 | Val Acc: 0.792
Epoch81/250：Train Loss: 0.11940424056649208 | Val Loss: 0.38825278543530944 | Val Acc: 0.7859
Epoch82/250：Train Loss: 0.11295811315923929 | Val Loss: 0.44201898885468327 | Val Acc: 0.7882
Epoch83/250：Train Loss: 0.11260402128323913 | Val Loss: 0.3729492736200746 | Val Acc: 0.8041
Epoch84/250：Train Loss: 0.10949259834885597 | Val Loss: 0.3660761179824987 | Val Acc: 0.8089
Epoch85/250：Train Loss: 0.1013554055839777 | Val Loss: 0.3796012289703083 | Val Acc: 0.8025
Epoch86/250：Train Loss: 0.09967466026246548 | Val Loss: 0.3785575628875734 | Val Acc: 0.7845
Epoch87/250：Train Loss: 0.10071000439226627 | Val Loss: 0.36663497194124106 | Val Acc: 0.7966
Epoch88/250：Train Loss: 0.0976712103150785 | Val Loss: 0.38454770724684856 | Val Acc: 0.8189
Epoch89/250：Train Loss: 0.09693798077628016 | Val Loss: 0.38566955916892987 | Val Acc: 0.7773
Epoch90/250：Train Loss: 0.09156431960836053 | Val Loss: 0.38214008898114243 | Val Acc: 0.8096
Epoch91/250：Train Loss: 0.08992818568274379 | Val Loss: 0.43554033149783605 | Val Acc: 0.8099
Epoch92/250：Train Loss: 0.09025668944306671 | Val Loss: 0.3854234047210255 | Val Acc: 0.8203
Epoch93/250：Train Loss: 0.0800080710105598 | Val Loss: 0.373611962583404 | Val Acc: 0.8165
Epoch94/250：Train Loss: 0.08829434324651957 | Val Loss: 0.366763798728252 | Val Acc: 0.7941
Epoch95/250：Train Loss: 0.07667034728676081 | Val Loss: 0.4102249581116838 | Val Acc: 0.8217
Epoch96/250：Train Loss: 0.08058202747255563 | Val Loss: 0.40154170724578175 | Val Acc: 0.8049
Epoch97/250：Train Loss: 0.08100357905104756 | Val Loss: 0.41545071983680176 | Val Acc: 0.8289
Epoch98/250：Train Loss: 0.08074818597957492 | Val Loss: 0.41089118696963445 | Val Acc: 0.8227
Epoch99/250：Train Loss: 0.07254561196491122 | Val Loss: 0.4109505857415378 | Val Acc: 0.8143
Epoch100/250：Train Loss: 0.07371634613834321 | Val Loss: 0.39854071647547684 | Val Acc: 0.8096
Epoch101/250：Train Loss: 0.06960594844892622 | Val Loss: 0.39982228343502973 | Val Acc: 0.8118
Epoch102/250：Train Loss: 0.07353371901586651 | Val Loss: 0.37914384906284343 | Val Acc: 0.8137
Epoch103/250：Train Loss: 0.06952876447066665 | Val Loss: 0.36983583003472975 | Val Acc: 0.7964
Epoch104/250：Train Loss: 0.06433777868300676 | Val Loss: 0.46470154414828213 | Val Acc: 0.8214
Epoch105/250：Train Loss: 0.0701196879349649 | Val Loss: 0.4213228817945852 | Val Acc: 0.7961
Epoch106/250：Train Loss: 0.06718363926149905 | Val Loss: 0.40888901736242134 | Val Acc: 0.8258
Epoch107/250：Train Loss: 0.06559191835969687 | Val Loss: 0.43526518169326334 | Val Acc: 0.8113
Epoch108/250：Train Loss: 0.05941431589275598 | Val Loss: 0.43132936370115693 | Val Acc: 0.8185
Epoch109/250：Train Loss: 0.06413463026285171 | Val Loss: 0.39895664082881743 | Val Acc: 0.8152
Epoch110/250：Train Loss: 0.05836293858885765 | Val Loss: 0.432143042334162 | Val Acc: 0.8275
Epoch111/250：Train Loss: 0.06125199310071766 | Val Loss: 0.41176085404980295 | Val Acc: 0.8202
Epoch112/250：Train Loss: 0.05575619533341378 | Val Loss: 0.4274075851379968 | Val Acc: 0.8323
Epoch113/250：Train Loss: 0.056088517135567964 | Val Loss: 0.40979859832757576 | Val Acc: 0.8179
Epoch114/250：Train Loss: 0.057951629387959835 | Val Loss: 0.3844167764444416 | Val Acc: 0.8234
Epoch115/250：Train Loss: 0.05733757616244257 | Val Loss: 0.4588527376540362 | Val Acc: 0.8041
Epoch116/250：Train Loss: 0.05661828483454883 | Val Loss: 0.47300043018957294 | Val Acc: 0.8175
